,precision,recall,f1-score,support
high,0.47835497835497837,0.7269736842105263,0.577023498694517,912.0
low,0.5,0.00411522633744856,0.00816326530612245,486.0
medium,0.47106598984771575,0.4749232343909928,0.47298674821610603,977.0
accuracy,0.47536842105263155,0.47536842105263155,0.47536842105263155,0.47536842105263155
macro avg,0.4831403227342313,0.40200404831298925,0.3527245040722485,2375.0
weighted avg,0.4797857736172457,0.47536842105263155,0.41781929716013083,2375.0
